BeerID,Name,Style,Size(L),OG,FG,ABV,IBU,Color,BoilSize,BoilTime,BoilGravity,Efficiency,BrewMethod,,Difference_Size
33116,Kirishima Red II,Irish Red Ale,44.06,1.0522,1.0088,3.92,24.14,15.69,54.06,60,1.0611,70,BIAB,,10
22459,Red Ale #1,Irish Red Ale,44.14,1.0794,1.0179,6.98,20.78,17.29,54.59,60,1.0435,70,All Grain,,10.45
53748,Simple Irish Cream Ale,Irish Cream Ale,44.19,1.0631,1.0093,5.75,31.05,5.02,54.8,60,1.0247,70,All Grain,,10.62
21449,SS Red Ale,Irish Red Ale,44.25,1.0609,1.0104,5.15,22.54,14.86,55.29,60,1.0235,65,All Grain,,11.05
29052,THOR,Irish Red Ale,44.56,1.0711,1.0176,5.33,22.07,16.51,55.31,60,1.0673,65,All Grain,,10.75
13264,Crossed Cannon Irish Cream Ale,Irish Cream Ale,45.39,1.0615,1.0141,4.2,21.98,4.82,56.11,60,1.0257,70,BIAB,,10.71
72006,Cornholio,Irish Cream Ale,45.68,1.0774,1.0096,7.42,14.85,3.35,56.37,60,1.0311,70,All Grain,,10.69
72071,Crispy Trout,Irish Cream Ale,45.87,1.0855,1.0138,9.03,28.24,8.88,56.69,60,1.048,75,All Grain,,10.82
15928,2 Dogs Patersbier,Irish Pale Ale,46,1.0665,1.0152,5.04,19.63,3.41,57.69,70,1.0258,70,BIAB,,11.69
40855,V‰nsterpartistens,Irish Red Ale,46.24,1.0715,1.0154,5.95,25.48,17.24,57.81,60,1.0414,70,All Grain,,11.57
61762,Saigo Red Ale,Irish Red Ale,47.19,1.0527,1.0119,3.54,23.73,12.36,58.2,60,1.0566,70,BIAB,,11.01
62519,Red Ale EXP01,Irish Red Ale,47.34,1.0837,1.018,7.83,56.92,23.82,58.22,90,1.0548,75,BIAB,,10.88
62598,Belgian pale,Irish Pale Ale,47.75,1.0597,1.0129,4.71,31.05,10.24,58.38,60,1.0186,75,BIAB,,10.63
56577,Kermaperse,Irish Cream Ale,47.87,1.0524,1.0076,4.24,19.46,2.98,58.49,60,1.0309,80,BIAB,,10.62
11679,Celtic red potato ale,Irish Red Ale,48.2,1.0669,1.0145,5.54,25.35,14.94,59.61,60,1.0198,68,BIAB,,11.41
19516,Vanilla Irish Cream Ale 1 Gal,Irish Cream Ale,48.67,1.0595,1.0091,5.33,17.31,2.7,59.64,60,1.0216,70,All Grain,,10.97
61985,Grandpa Jack,Irish Cream Ale,48.71,1.0576,1.009,4.89,14.8,3.23,60.01,60,1.0145,65,All Grain,,11.3
23245,Red,Irish Red Ale,48.79,1.069,1.0146,5.73,19.69,17.34,60.03,60,1.0321,75,All Grain,,11.24
29257,Irish red,Irish Red Ale,49.19,1.0568,1.0121,4.13,20.8,15.86,60.21,60,1.0658,80,extract,,11.02
57057,Homegrown Barley I,Irish Pale Ale,49.34,1.0748,1.0156,6.46,25.62,6.05,60.37,60,1.0473,70,BIAB,,11.02
29816,Crossed Cannon Irish Cream Ale V2,Irish Cream Ale,49.37,1.0605,1.0124,4.71,17.75,5.05,60.52,60,1.0197,75,BIAB,,11.15
25714,Coffee test,Irish Red Ale,49.39,1.0543,1.0101,4.07,22.39,16.38,60.95,60,1.0175,75,All Grain,,11.55
38203,Crossed Cannon Irish Cream Ale V3,Irish Cream Ale,49.72,1.0578,1.0081,5.31,16.9,2.92,61.19,90,1.0142,75,BIAB,,11.47
58821,Dry Irish Stout,Irish Dry Stout,49.82,1.0648,1.0158,4.49,46.17,34.2,61.29,60,1.0321,70,BIAB,,11.46
22647,AG Irish Cream Ale v3,Irish Cream Ale,49.84,1.0593,1.0103,5.02,20.18,3.36,61.32,60,1.0362,67,BIAB,,11.48
60126,IRISH RED ALE - 20 abril,Irish Red Ale,49.85,1.0489,1.0087,3.44,21.24,11.58,61.81,75,1.0282,75,All Grain,,11.95
20034,Vanguard Warrior,Irish Red Ale,49.86,1.0598,1.0158,3.78,63.87,19.94,61.81,60,1.046,70,All Grain,,11.95
20975,Pale Moon Harvest Ale,Irish Pale Ale,50.81,1.0478,1.0129,2.33,35.86,4.04,61.82,60,1.0353,70,BIAB,,11.01
26705,Pastel,Irish Pale Ale,50.81,1.0373,1.0097,1.1,20.56,5.37,62.44,90,1.0234,70,BIAB,,11.63
40002,#rood,Irish Red Ale,51.2,1.042,1.0097,2.44,25.67,13.5,62.7,60,1.0312,70,BIAB,,11.49
47759,#rood :),Irish Red Ale,51.33,1.0447,1.0097,2.77,25.46,12.86,62.87,60,1.0327,70,BIAB,,11.54
51429,Irish Red Ale (2∞b) - 01 junio 2017,Irish Red Ale,51.39,1.049,1.0072,3.56,24.1,14.58,63.03,75,1.0324,75,All Grain,,11.64
2574,Bull's Eye Red Ale,Irish Red Ale,51.82,1.0651,1.0143,5.07,29.39,13.23,63.1,60,1.041,75,extract,,11.28
14697,Irish Red,Irish Red Ale,51.86,1.0719,1.0154,6.23,21.17,14.3,63.17,60,1.0483,65,extract,,11.31
15100,Blueberry Red Ale,Irish Red Ale,52.1,1.0605,1.0124,4.72,25.4,14.94,63.89,60,1.0391,70,BIAB,,11.79
30471,Irish Red,Irish Red Ale,52.11,1.0731,1.0164,6.37,21.17,13.08,63.93,60,1.0485,65,extract,,11.82
32890,Belgian Spiced IPA,Irish Pale Ale,52.78,1.0709,1.0128,6.36,27.67,4.38,64.08,60,1.0505,70,extract,,11.31
40320,Engagement Ring Blender,Irish Pale Ale,53.05,1.0642,1.0126,5.44,21.81,15.37,64.13,60,1.012,70,All Grain,,11.08
41930,Dryrish Stout,Irish Dry Stout,53.08,1.0589,1.0113,4.63,45.56,36.27,64.13,60,1.0504,65,All Grain,,11.05
47403,Pilsale 1,Irish Cream Ale,53.16,1.0612,1.0093,5.78,21.5,5.65,64.24,60,1.0512,65,All Grain,,11.08
63381,Irish Cream Ale,Irish Cream Ale,53.91,1.0577,1.008,5.09,12.42,3.99,64.25,90,1.0116,70,All Grain,,10.34
64549,Irish Red,Irish Red Ale,53.91,1.0611,1.0092,5.37,29.24,17.23,64.46,90,1.0217,65,BIAB,,10.55
70453,BPA,Irish Pale Ale,53.99,1.0512,1.013,3.07,55.32,7.93,64.47,60,1.0319,65,BIAB,,10.48
28062,16.4 Belgian Bitter Pale Ale,Irish Pale Ale,54.15,1.0684,1.0106,6.27,53.96,4.2,64.86,90,1.0497,65,All Grain,,10.71
31090,Guiness Clone,Irish Dry Stout,55.09,1.0541,1.012,3.75,40.4,50,64.93,60,1.0115,75,All Grain,,9.85
60886,4 Footer,Irish Cream Ale,55.09,1.0613,1.0124,5.15,19.15,3.37,65.4,60,1.0385,70,All Grain,,10.31
21571,The Dunkelator,Irish Lager,55.15,1.0648,1.0151,4.65,29.81,15.82,65.47,60,1.0526,75,All Grain,,10.32
25878,Belgian Pale Ale,Irish Pale Ale,55.19,1.0612,1.0093,5.72,19.23,9.32,65.56,60,1.0437,75,BIAB,,10.37
27460,Awesome Recipe,Irish Red Ale,55.24,1.0652,1.0143,5.15,20.07,22.23,65.56,60,1.0536,70,BIAB,,10.33
52575,Belg-ISH Ale,Irish Pale Ale,55.33,1.0698,1.0168,5.1,30.8,14.73,65.88,60,1.0474,75,All Grain,,10.55
63970,American Cream,Irish Cream Ale,55.45,1.0653,1.0144,5.22,15.5,3.43,65.95,60,1.0536,70,All Grain,,10.5
1200,Kentucky Common Dark Irish Cream Ale,Irish Cream Ale,55.57,1.0496,1.0118,2.88,23.59,8.42,66.18,60,1.0403,75,All Grain,,10.62
59050,Honey belgian pale ale,Irish Pale Ale,55.63,1.0648,1.0151,4.6,28.65,11.37,66.29,60,1.0241,65,BIAB,,10.66
19181,AG Irish Cream Ale v2,Irish Cream Ale,55.64,1.0474,1.0086,3.22,17.31,2.76,66.51,60,1.0215,70,BIAB,,10.88
23429,Irish Red Ale,Irish Red Ale,55.76,1.0329,1.007,0.82,13.27,10.58,66.62,60,1.0118,72,All Grain,,10.86
14882,Shomonkai Ale,Irish Cream Ale,56.1,1.0587,1.0123,4.55,16.41,3.21,66.92,60,1.0522,70,Partial Mash,,10.81
23441,Belgian pale (Rakau dry hop),Irish Pale Ale,56.19,1.0742,1.0069,7.25,29.69,3.1,67.02,60,1.056,78,All Grain,,10.83
32131,Golden Frog Two,Irish Pale Ale,56.2,1.0631,1.0093,5.76,42.66,5.69,67.13,60,1.049,65,Partial Mash,,10.93
37956,Guinness Clone,Irish Dry Stout,56.24,1.0458,1.0118,2.34,33.31,40.96,67.18,60,1.0624,70,All Grain,,10.94
68855,Mostly Harmless,Irish Pale Ale,56.25,1.058,1.0149,3.75,42.64,5.45,67.22,60,1.0321,70,BIAB,,10.97
55165,Irish Red,Irish Red Ale,56.37,1.0663,1.0159,4.83,24.96,13.68,67.38,60,1.0473,71.1,All Grain,,11.01
368,Orange Blossom Irish Cream Ale,Irish Cream Ale,56.49,1.0675,1.0167,4.6,14.74,4.98,67.58,60,1.0415,72,Partial Mash,,11.09
482,Irish Cream Ale,Irish Cream Ale,56.58,1.0736,1.0172,5.99,27.1,4.32,68.14,60,1.0416,75,extract,,11.56
841,Schoenling Little Kings,Irish Cream Ale,56.67,1.0658,1.0127,5.63,21.21,3.13,68.3,60,1.0406,75,All Grain,,11.64
1464,Orange vanilla Carmel Irish Cream Ale,Irish Cream Ale,56.77,1.0766,1.0148,6.82,25.45,6.95,68.75,60,1.0412,70,extract,,11.98
1568,Red Oktober,Irish Red Ale,56.84,1.0468,1.0109,2.89,22.86,12.58,68.82,60,1.0402,70,extract,,11.98
1868,011 - Irish Cream Ale,Irish Cream Ale,56.95,1.059,1.0113,4.79,28.48,3.5,69.23,60,1.0505,62,BIAB,,12.27
2551,Fat Tire Clone,Irish Pale Ale,57,1.0666,1.0144,5.25,25.29,12.39,69.26,60,1.0471,65,BIAB,,12.26
2613,Yuengling Clone,Irish Lager,57.13,1.0469,1.0098,2.97,15.43,9.91,69.41,60,1.0612,70,All Grain,,12.28
7647,Lawnmower Ale,Irish Pale Ale,57.2,1.056,1.0089,4.73,28.05,9.23,69.56,60,1.0247,75,BIAB,,12.35
7737,Red Rye Ale,Irish Red Ale,57.36,1.0692,1.0137,5.9,25.6,15.33,69.56,60,1.0479,75,BIAB,,12.21
8620,Summer Series Irish Cream Ale PM,Irish Cream Ale,57.53,1.0656,1.0136,5.49,28.66,5,69.64,60,1.0409,70,Partial Mash,,12.11
10169,Dad's Irish red v2,Irish Red Ale,57.59,1.0724,1.0163,5.88,25.89,18.85,69.84,60,1.0574,75,extract,,12.26
10505,El Rey - Vienna Lager,Irish Lager,57.59,1.0602,1.0131,4.4,24.75,31.58,69.91,60,1.0407,70,BIAB,,12.32
12275,Irish Red,Irish Red Ale,57.65,1.064,1.0125,5.17,17.1,14.41,69.94,60,1.0304,75,BIAB,,12.29
14055,Irish Cream Ale,Irish Cream Ale,57.7,1.0484,1.0109,3.05,23.41,2.81,69.95,60,1.0637,70,Partial Mash,,12.26
15824,Seven Heaven Irish Cream Ale,Irish Cream Ale,57.75,1.0453,1.0086,3.27,20.9,3.46,70.02,60,1.0627,62,Partial Mash,,12.27
17464,Belgium Pale Ale - jaysbrewing,Irish Pale Ale,58.07,1.0662,1.0167,4.69,22.16,5.92,70.14,60,1.0714,70,extract,,12.08
22506,Blueberry Red Ale,Irish Red Ale,58.08,1.0707,1.0137,6.14,23.21,17.56,70.18,60,1.0369,75,BIAB,,12.1
23066,El Camino - North American Cerveza,Irish Cream Ale,58.1,1.0455,1.006,3.46,13.48,3.36,70.35,60,1.0278,75,BIAB,,12.26
28568,Belgian Pale Ale,Irish Pale Ale,58.16,1.0642,1.0126,5.36,22.23,11.98,70.43,60,1.067,70,BIAB,,12.28
30408,Belgian Golden Ale,Irish Pale Ale,58.31,1.0581,1.014,4.11,33.61,6.88,70.44,60,1.0645,70,Partial Mash,,12.14
33800,Irish Red - Session,Irish Red Ale,58.71,1.0481,1.0109,2.93,23.9,13.57,70.46,60,1.0315,65,BIAB,,11.75
34008,Raging Red Irish Red Ale,Irish Red Ale,58.81,1.0707,1.0137,6.15,25.98,16.53,70.52,60,1.0498,75,BIAB,,11.71
34948,Pileated Red,Irish Red Ale,58.84,1.0711,1.0169,5.37,14.49,12.5,70.59,60,1.0101,70,BIAB,,11.75
35923,O'Mally's red  ale,Irish Red Ale,58.94,1.0495,1.0129,2.68,23.08,11.87,70.77,60,1.0108,70,All Grain,,11.83
50989,Irish Cream Ale Mr. Beer,Irish Cream Ale,59.16,1.0673,1.0096,6.26,28.16,4.37,70.87,60,1.0298,65,Partial Mash,,11.71
52243,Goulot Farmhouse Ale,Irish Pale Ale,59.21,1.045,1.0086,3.02,27.93,3.76,70.89,60,1.067,70,Partial Mash,,11.68
52348,Warrior's Brew,Irish Red Ale,59.23,1.0535,1.0077,4.41,29.4,13.8,71.2,60,1.0628,75,Partial Mash,,11.97
53325,They Call Me Red2,Irish Red Ale,59.6,1.067,1.0127,5.73,25.97,9.27,71.32,60,1.0334,70,BIAB,,11.72
55868,Flat Tire,Irish Pale Ale,59.68,1.0674,1.0096,6.54,30.59,14.76,71.33,60,1.0687,70,extract,,11.65
58314,Dry Irish Stout,Irish Dry Stout,59.8,1.0651,1.0143,5.08,34.17,46.5,71.46,60,1.0719,67,All Grain,,11.66
59310,Oatmeal Stout,Irish Dry Stout,59.84,1.0382,1.007,2.52,36.32,22.77,71.62,60,1.0535,75,Partial Mash,,11.78
59497,Irish Red....Good as Gold,Irish Red Ale,59.97,1.065,1.0152,4.93,21.24,13.28,71.65,60,1.0682,70,extract,,11.68
59530,Irish Red Ale,Irish Red Ale,60.13,1.0462,1.0108,2.8,24.88,13.44,71.67,60,1.0299,75,Partial Mash,,11.54
63322,Fury,Irish Cream Ale,60.16,1.0668,1.0145,5.39,20,4.55,71.7,60,1.0698,80,All Grain,,11.54
63507,Red ale,Irish Red Ale,60.2,1.0692,1.0146,5.84,12.82,14.45,71.81,60,1.0494,65,BIAB,,11.62
64774,Vienna,Irish Lager,60.2,1.0604,1.0123,4.65,26.43,13.72,71.86,90,1.0163,70,BIAB,,11.66
65428,Vienna Rabbit,Irish Lager,60.22,1.0576,1.009,4.89,26.65,11.63,71.95,60,1.0611,70,Partial Mash,,11.73
67871,American Red Ale,Irish Red Ale,60.33,1.0365,1.0054,1.62,33.4,10.29,72,60,1.0565,75,Partial Mash,,11.66
71127,Lonesome Road,Irish Lager,60.37,1.0561,1.0089,4.89,52.1,5.49,72.02,60,1.0283,68,All Grain,,11.65
55662,Cream of 3 crops,Irish Cream Ale,60.37,1.0589,1.0113,4.63,32.15,2.59,72.03,60,1.0421,80,BIAB,,11.66
1932,Irish Ale,Irish Red Ale,60.44,1.0736,1.0171,5.89,18.87,17.97,72.1,60,1.0416,80,Partial Mash,,11.66
26572,NHC award winning Irish Cream Ale,Irish Cream Ale,60.48,1.0662,1.0053,6.59,18.6,3.01,72.1,60,1.0418,75,All Grain,,11.63
50798,Moni's Irish Cream Ale,Irish Cream Ale,60.48,1.0509,1.0064,4.18,17.22,3.43,72.62,60,1.0294,70,BIAB,,12.14
14032,Gold Viena Lager Beer,Irish Lager,60.59,1.0459,1.0118,2.45,29.59,11.95,72.75,70,1.0302,70,All Grain,,12.16
18562,Lager Massone,Irish Lager,60.91,1.058,1.0139,3.89,20.99,4.73,73.07,90,1.0762,75,Partial Mash,,12.16
19026,Royal Ruby Ale III,Irish Red Ale,61.06,1.0507,1.0074,3.9,22.86,14.29,73.11,60,1.0324,65,All Grain,,12.06
19979,Belgian Pale Ale,Irish Pale Ale,61.15,1.0623,1.0134,4.99,51.8,17.87,73.65,60,1.0426,70,All Grain,,12.5
20782,Tavaszi parti sˆr - Vˆrˆs,Irish Red Ale,61.2,1.0478,1.0108,2.94,30.7,7.76,73.79,60,1.0401,70,All Grain,,12.59
24056,Awesome Recipe,Irish Lager,61.25,1.0516,1.011,3.45,28.98,10.32,74.02,70,1.033,75,All Grain,,12.76
26681,Canadian Irish Cream Ale,Irish Cream Ale,61.29,1.0629,1.0105,5.59,11.12,3.66,74.09,60,1.0657,70,All Grain,,12.81
27497,Ruh Roh Red,Irish Red Ale,61.3,1.0626,1.0114,5.22,23.95,17.62,74.14,60,1.0377,70,BIAB,,12.84
34241,Guinness Clone 3,Irish Dry Stout,61.41,1.0588,1.0123,4.62,28.11,27.4,74.28,60,1.0649,70,Partial Mash,,12.87
35874,Belgian Pale Mower Ale 01,Irish Pale Ale,61.45,1.0566,1.0131,4.06,27.84,11,74.28,60,1.0392,80,BIAB,,12.83
43584,Dry Stout,Irish Dry Stout,61.48,1.0468,1.0098,2.9,42.56,39.82,74.32,60,1.0298,70,All Grain,,12.84
46744,Whatever's left in the pantry I,Irish Pale Ale,61.55,1.0676,1.016,5.17,32.96,13.76,74.36,60,1.0557,70,BIAB,,12.81
53121,La Ale Roja,Irish Red Ale,61.62,1.0601,1.014,4.21,22,13.66,74.43,75,1.0457,78,All Grain,,12.82
63638,Irish Red 2017,Irish Red Ale,61.64,1.059,1.0113,4.69,20.66,14.02,74.45,60,1.0647,70,Partial Mash,,12.81
70689,Dry stout (Guiness),Irish Dry Stout,61.96,1.0474,1.0086,3.39,39.47,50,74.54,60,1.0295,72,All Grain,,12.57
1140,Summer Lolly - Orange Vanilla Irish Cream Ale,Irish Cream Ale,62.06,1.0641,1.0126,5.22,26.97,4.62,74.66,60,1.0405,70,All Grain,,12.6
59240,Calle Oeste,Irish Lager,62.08,1.0627,1.0105,5.42,29.18,8.71,74.74,60,1.0438,69,BIAB,,12.66
6449,17 Irish Red w/ Jameson,Irish Red Ale,62.09,1.0693,1.0146,5.93,23.86,23.82,74.77,60,1.0411,70,All Grain,,12.68
15021,Eyneburg Abbey Bier,Irish Pale Ale,62.2,1.066,1.0106,5.94,18.52,12.81,74.78,60,1.0268,70,BIAB,,12.58
68786,#51 - Beamishish Dry Irish Stout,Irish Dry Stout,62.3,1.0431,1.007,2.89,37.85,33.11,74.86,60,1.0209,75,BIAB,,12.56
72904,St Pattys Red,Irish Red Ale,62.33,1.074,1.0128,6.72,37.86,21.58,75.17,60,1.0468,65,BIAB,,12.84
34014,Miller the Muggle,Irish Cream Ale,62.44,1.0394,1.0034,3.94,12.73,2.97,75.55,60,1.0241,75,All Grain,,13.12
39455,Sunshine of Your Love,Irish Cream Ale,62.62,1.0533,1.0101,4.04,19.97,3.15,75.8,60,1.0344,74,BIAB,,13.18
69824,Barleycorn Philip,Irish Red Ale,62.73,1.0532,1.01,3.96,22.8,11.32,75.81,60,1.0328,72,BIAB,,13.09
43893,Apa,Irish Lager,62.8,1.062,1.0133,4.7,37.12,9.03,75.84,60,1.0505,65,All Grain,,13.04
65386,Oyster Stout-Test 1,Irish Extra Stout,62.98,1.0783,1.0182,6.65,35.04,34.03,75.91,60,1.0529,75,All Grain,,12.93
71632,Red X Otter Ale,Irish Red Ale,63,1.0618,1.0141,4.54,43.38,17.08,76,60,1.0382,66,All Grain,,13
45316,Irish Red Ale,Irish Red Ale,63.02,1.0634,1.015,4.52,23.42,16.71,76.05,60,1.0412,71,BIAB,,13.03
45533,The Cure from Cork,Irish Dry Stout,63.04,1.0378,1.0085,2.06,33.64,32.77,76.28,60,1.0246,65,All Grain,,13.25
928,Pussy Beer Summer Ale,Irish Cream Ale,63.04,1.065,1.0151,4.77,23.22,3.1,76.3,60,1.0655,70,Partial Mash,,13.26
2085,Raisin Hell Red Ale,Irish Red Ale,63.13,1.0723,1.017,5.73,35.79,14.76,76.47,60,1.0741,70,Partial Mash,,13.34
2754,Belgian Pale Ale,Irish Pale Ale,63.14,1.0706,1.0146,6.03,30.09,12.41,76.6,60,1.067,75,Partial Mash,,13.46
5575,Vanilla Irish Cream Ale,Irish Cream Ale,63.14,1.0663,1.0152,4.79,19.36,5.11,76.69,60,1.0413,68,All Grain,,13.55
12330,Belgian Blonde Ale (16E),Irish Pale Ale,63.19,1.0624,1.0125,5.06,21.45,8.01,76.8,60,1.0333,70,All Grain,,13.61
21851,Fat Tire Clone,Irish Pale Ale,63.29,1.0617,1.0141,4.49,25.2,12.45,76.8,60,1.0515,65,Partial Mash,,13.51
24236,Red Tick Beer,Irish Red Ale,63.54,1.0687,1.0161,5.19,25.15,16.13,76.87,60,1.0385,75,All Grain,,13.32
29470,Honey Pilsner 2.0,Irish Cream Ale,63.58,1.0738,1.0156,6.38,46.69,6.41,77.2,60,1.0373,70,BIAB,,13.62
33943,Take it easy,Irish Cream Ale,63.69,1.0549,1.0078,4.87,18.23,3.3,77.21,60,1.0511,80,Partial Mash,,13.52
35020,Let's Hope It's Red  Red Ale,Irish Red Ale,63.73,1.0738,1.0137,6.54,26.48,16.69,77.26,90,1.0578,65,BIAB,,13.54
38970,Vienna Lager,Irish Lager,63.76,1.0613,1.0083,5.81,39.29,11.31,77.39,90,1.0436,80,BIAB,,13.64
42346,Rudolph's Red Nose,Irish Red Ale,63.81,1.0542,1.0111,3.96,16.57,15.63,77.69,60,1.061,70,Partial Mash,,13.89
43587,Irish Red Ale,Irish Red Ale,63.85,1.0511,1.0138,2.82,25.38,10.67,77.79,60,1.0593,70,All Grain,,13.94
43817,Better Red the n Dead,Irish Red Ale,63.89,1.0668,1.0145,5.44,27.47,17.26,77.98,60,1.0632,70,All Grain,,14.09
45849,American Red,Irish Red Ale,63.89,1.0545,1.0101,4.2,19.32,9.74,78,60,1.0608,65,All Grain,,14.1
46571,Amnesty Red Ale,Irish Red Ale,64.03,1.0508,1.0074,3.95,38.14,20.74,78.02,90,1.0244,70,BIAB,,13.99
49710,Galveston Amber Lager,Irish Lager,64.05,1.0575,1.0103,4.77,25.2,11.76,78.25,60,1.0548,70,All Grain,,14.2
54923,Orange Grove Ale,Irish Cream Ale,64.07,1.046,1.0108,2.48,17.72,4,78.33,60,1.0583,80,extract,,14.26
56396,Irish Red Session 2,Irish Red Ale,64.08,1.0443,1.0108,2.46,26.83,13.31,78.34,60,1.0477,65,Partial Mash,,14.26
63001,Maple Quickie Belgian Ale,Irish Pale Ale,64.3,1.0593,1.0103,5.02,24.84,8.69,78.47,60,1.0314,70,BIAB,,14.17
64083,Irish Cream Ale,Irish Cream Ale,64.31,1.0491,1.0073,3.79,28.1,3.58,78.54,60,1.0231,75,BIAB,,14.24
67407,Cream of Canuck Ale,Irish Cream Ale,64.39,1.064,1.0125,5.16,24.36,4.21,78.59,90,1.0674,77,All Grain,,14.2
63807,Redemption,Irish Red Ale,64.4,1.0548,1.0089,4.6,28.85,11.08,78.63,60,1.036,79,BIAB,,14.23
10264,Red elk,Irish Red Ale,64.51,1.0663,1.0152,4.89,20.24,14.68,78.72,60,1.0372,70,All Grain,,14.21
12701,The Tettnanger,Irish Pale Ale,64.52,1.0596,1.0092,5.41,22.42,7.78,78.77,90,1.064,70,All Grain,,14.25
28015,#006 Irish stout c munich(60)&chocolate rye(...,Irish Dry Stout,64.58,1.0746,1.0164,6.36,27.5,50,78.79,60,1.0448,65,All Grain,,14.2
29270,Marco Friend Ale,Irish Pale Ale,64.6,1.0656,1.0126,5.47,20.51,8.81,78.92,60,1.0352,65,BIAB,,14.32
33310,Rye Stout,Irish Dry Stout,64.6,1.0612,1.0092,5.58,41.12,50,79.1,90,1.0326,70,BIAB,,14.49
48778,Red Irish Red Ale,Irish Red Ale,64.77,1.0742,1.0108,6.96,29.82,15.96,79.16,60,1.0401,70,All Grain,,14.39
58669,Vienna lager,Irish Lager,64.86,1.0598,1.0167,3.63,22.35,11.03,79.18,60,1.0341,65,All Grain,,14.32
72743,Dearg,Irish Red Ale,64.93,1.0607,1.0124,4.85,27.57,14.54,79.47,60,1.0391,65,BIAB,,14.54
73834,Cascade Irish Cream Ale,Irish Cream Ale,64.98,1.0492,1.0064,3.97,18.72,2.72,79.5,60,1.0279,65,BIAB,,14.52
2321,Red Ash Irish Ale,Irish Red Ale,65,1.06,1.014,4.17,38.53,10.39,79.57,60,1.0355,65,All Grain,,14.57
25003,Cream Soda Ale,Irish Cream Ale,65.03,1.0688,1.0161,5.44,19.44,4.69,79.79,90,1.0473,75,BIAB,,14.76
39866,NB Irish Red Ale,Irish Red Ale,65.09,1.057,1.0122,4.21,23.71,13.48,79.87,60,1.0365,70,BIAB,,14.78
44551,Irish Cream Ale - AG,Irish Cream Ale,65.09,1.0771,1.0165,6.69,64.86,3.8,79.93,60,1.0528,75,All Grain,,14.84
60811,Azacca Irish Cream Ale,Irish Cream Ale,65.17,1.0599,1.0149,4.12,12,3.02,79.98,60,1.0357,75,All Grain,,14.81
64526,American Irish Red Ale,Irish Red Ale,65.36,1.0514,1.0119,3.23,22.19,12.91,79.99,60,1.0227,70,All Grain,,14.62
