brewery_id,brewery_name,review_time,review_overall,review_aroma,review_appearance,review_profilename,beer_style,review_palate,review_taste,beer_name,beer_abv,beer_beerid
470,Abbaye de Leffe S.A.,1246333323,3,4,4.5,1fastz28,Irish Pale Ale,3.5,3,Leffe Blonde,6.6,2137
1549,Goose Island Beer Co.,1201059540,3,3.5,4,1fastz28,Irish Red Ale,3.5,3,Kilgubbin Red Ale,4.5,2778
42,Brewery Ommegang,1065155894,4.5,4,4.5,1morebeer,Irish Pale Ale,4,4.5,Rare Vos (Amber Ale),6.5,593
57,"Cervecería Cuauhtémoc Moctezuma, S.A. de C.V.",1065198177,3.5,2.5,3,1morebeer,Irish Lager,3.5,3,Dos Equis Amber Lager,4.5,171
35,Boston Beer Company (Samuel Adams),1065103094,3,3,3.5,1morebeer,Irish Lager,3.5,3,Samuel Adams Boston Lager,4.9,104
302,Genesee Brewing Co. / Dundee Brewing Co.,1065326811,3,2.5,2,1morebeer,Irish Cream Ale,2.5,2.5,Genesee Irish Cream Ale,5.2,1376
21834,Ambacht Brewing,1264569788,3.5,4.5,4,1whiskey,Irish Pale Ale,3.5,3.5,Ambacht Golden Ale,6.5,55683
192,New Belgium Brewing,1169598408,3.5,3.5,4,1whiskey,Irish Pale Ale,4,4,Springboard,6.2,34717
37,Brasserie d'Orval S.A.,1312184504,4,4,3.5,20ozmonkey,Irish Pale Ale,4.5,4,Orval Trappist Ale,6.9,129
148,Belhaven Brewery Company Ltd.,1278430351,4.5,4,4,2DaMtns,Irish Extra Stout,4,4.5,Belhaven Scottish Stout,7,48194
1549,Goose Island Beer Co.,1311987590,4,4,4,2xHops,Irish Pale Ale,4.5,4,Demolition,7.2,49003
306,Coors Brewing Company,1313380462,3,3,3,2xHops,Irish Pale Ale,3.5,3,Blue Moon Pale Moon,5.4,42887
42,Brewery Ommegang,1284680610,3.5,4,4,321jeff,Irish Pale Ale,2.5,3.5,Ommegang BPA (Belgian-style Pale Ale),6.2,56875
99,Matt Brewing Company,1073010598,3.5,4,3.5,32hoss32,Irish Lager,4,3.5,Saranac Season's Best - Nut Brown Lager,5.3,2019
37,Brasserie d'Orval S.A.,1089911715,3,4,3.5,32hoss32,Irish Pale Ale,2,3.5,Orval Trappist Ale,6.9,129
42,Brewery Ommegang,1066835141,2.5,3.5,4,32hoss32,Irish Pale Ale,4,2.5,Rare Vos (Amber Ale),6.5,593
30,Avery Brewing Company,1322021495,3,3,4,3HovsepiansBrews,Irish Pale Ale,3.5,3,Karma,5.2,23042
16320,Brasserie de la Senne,1210690966,3,3,5,3leggeddub,Irish Pale Ale,3.5,2.5,Taras Boulba,4.5,32846
2243,The Porterhouse Brewing Company,1300676444,3.5,4,4,3rdRowTailgater,Irish Dry Stout,3.5,3,Oyster Stout,5.2,5686
10097,Harpoon Brewery,1317081342,3.5,3.5,4,3rdRowTailgater,Irish Extra Stout,3.5,3.5,Harpoon Island Creek Oyster Stout (100 Barrel Series #36),5.5,69135
1141,Brasserie Dieu Du Ciel,1090477977,4.5,4,4.5,3Vandoo,Irish Pale Ale,4,4.5,Rigor Mortis Blonde,6,9642
22,Unibroue,1090787182,4.5,4,3.5,3Vandoo,Irish Pale Ale,4,4.5,La Gaillarde,5,2057
4048,Mt. Begbie Brewing Co.,1107571098,4,3,3,3Vandoo,Irish Cream Ale,4.5,4,Mt Begbie Irish Cream Ale,4.79,9255
1141,Brasserie Dieu Du Ciel,1183101008,4,4,4,3Vandoo,Irish Cream Ale,4,4,Gaélique,5,9658
22,Unibroue,1182829588,4,4,4,3Vandoo,Irish Pale Ale,4,4,Raftman,5.5,793
184,Bierbrouwerij De Koningshoeven B.V.,1115584560,3.5,3,4,3Vandoo,Irish Pale Ale,3.5,3,La Trappe Blond (Koningshoeven / Dominus),6.5,590
283,Brouwerij Liefmans,1099706464,2,2.5,2,3Vandoo,Irish Pale Ale,2,1.5,Jan Van Gent,5.5,1687
765,Trafalgar Ales & Meads,1097953311,1,1.5,3,3Vandoo,Irish Red Ale,1,1,Paddy's Irish Red,5,8590
37,Brasserie d'Orval S.A.,1281671802,5,4.5,4,4000qtrap,Irish Pale Ale,3.5,4.5,Orval Trappist Ale,6.9,129
22,Unibroue,1308454918,4.5,4,4,4000qtrap,Irish Pale Ale,3,4.5,Raftman,5.5,793
2243,The Porterhouse Brewing Company,1318287069,3.5,4,4,4000qtrap,Irish Dry Stout,3,3,Oyster Stout,5.2,5686
470,Abbaye de Leffe S.A.,1309046119,2,4,3.5,4000qtrap,Irish Pale Ale,2,2.5,Leffe Blonde,6.6,2137
8930,Dempsey's Restaurant And Brewery,1302911447,1.5,3,3,4000qtrap,Irish Red Ale,2.5,2,Sonoma Irish Style Ale,5.2,60553
57,"Cervecería Cuauhtémoc Moctezuma, S.A. de C.V.",1066597189,2,3,3,44ouncer,Irish Lager,3,2.5,Dos Equis Amber Lager,4.5,171
665,Smithwick's Brewery / Irish Ale Breweries Ltd,1042662068,4.5,4,4,49degrees,Irish Red Ale,4,4,Smithwick's Ale,4.5,1822
73,Great Lakes Brewing Company,1040855647,4.5,4,4,49degrees,Irish Lager,4,4.5,Great Lakes Eliot Ness,6.2,229
22,Unibroue,1042827650,4,4,4,49degrees,Irish Pale Ale,4.5,4.5,Raftman,5.5,793
2597,Mission Springs Brewing Company,1042305638,3,2.5,3,49degrees,Irish Cream Ale,2.5,3,Irish Cream Ale,4.5,7982
2243,The Porterhouse Brewing Company,1310280661,3.5,3,3,4DAloveofSTOUT,Irish Dry Stout,4,3,Wrasslers XXXX Stout,5,3042
37,Brasserie d'Orval S.A.,1307237738,3.5,3.5,4.5,4DAloveofSTOUT,Irish Pale Ale,4,3.5,Orval Trappist Ale,6.9,129
2243,The Porterhouse Brewing Company,1310280120,3,3,3,4DAloveofSTOUT,Irish Dry Stout,4,3,Oyster Stout,5.2,5686
37,Brasserie d'Orval S.A.,1243811239,5,5,4.5,51mmz0rz,Irish Pale Ale,4,4,Orval Trappist Ale,6.9,129
184,Bierbrouwerij De Koningshoeven B.V.,1291332712,4.5,4,4.5,51mmz0rz,Irish Pale Ale,3.5,4.5,La Trappe Isid'or,7.5,51030
73,Great Lakes Brewing Company,1235442504,4.5,4,4.5,51mmz0rz,Irish Lager,4.5,4.5,Great Lakes Eliot Ness,6.2,229
309,Brasserie Duyck,1312074559,3.5,4.5,4.5,51mmz0rz,Irish Pale Ale,3.5,4,Saint Druon De Sebourg (French Abbey Ale),6,7470
42,Brewery Ommegang,1227657764,3.5,3.5,4.5,51mmz0rz,Irish Pale Ale,3.5,4.5,Rare Vos (Amber Ale),6.5,593
30,Avery Brewing Company,1291076157,5,5,5,55kabinski,Irish Dry Stout,5,5,Out Of Bounds Stout,6.3,1830
665,Smithwick's Brewery / Irish Ale Breweries Ltd,1100900558,4,4,3,57andcounting,Irish Red Ale,3.5,4,Smithwick's Ale,4.5,1822
240,Murphy Brewery Ireland Limited,1130877728,3.5,3,3,57andcounting,Irish Red Ale,3,4,Murphy's Irish Red Beer,5,913
18858,Driftwood Brewery,1307496880,4,4,4,604growler,Irish Pale Ale,3.5,4.5,Spring Rite,7,69179
870,Moylan's Brewery,1302406102,3.5,4,4,619BeerLuvr,Irish Dry Stout,3.5,4,Moylans Dragoons Dry Irish Stout,5,21789
42,Brewery Ommegang,1054279624,4.5,4,4,6pak,Irish Pale Ale,4,4.5,Rare Vos (Amber Ale),6.5,593
4552,McGuire's Irish Pub of Destin,1306790399,2.5,2.5,3,6thomas3,Irish Red Ale,2.5,3,McGuire's Irish Red Ale,4.5,26453
37,Brasserie d'Orval S.A.,1295327367,3.5,3.5,4.5,700Uave,Irish Pale Ale,4,3.5,Orval Trappist Ale,6.9,129
10607,Sixpoint Brewery,1309390902,3.5,4,3,7ate9,Irish Cream Ale,5,4,Sweet Action,5.2,22193
302,Genesee Brewing Co. / Dundee Brewing Co.,1292183811,5,4,4,7beerphil,Irish Cream Ale,4.5,4.5,Genesee Irish Cream Ale,5.2,1376
35,Boston Beer Company (Samuel Adams),1273367143,1.5,4,4,7thInningSuds,Irish Lager,2,1.5,Samuel Adams Boston Lager,4.9,104
42,Brewery Ommegang,1302628265,4.5,3.5,4,7UCK,Irish Pale Ale,4,4,Ommegang BPA (Belgian-style Pale Ale),6.2,56875
5392,Carlyle Brewing Company,1220393634,4,3.5,4,815Sox,Irish Red Ale,3.5,3.5,Irish Amber,4.7,16796
37,Brasserie d'Orval S.A.,1053117255,3.5,4,4,86MonteSS,Irish Pale Ale,4,3.5,Orval Trappist Ale,6.9,129
74,Gritty McDuff's Brewing Company,1064287081,3.5,4,4,86MonteSS,Irish Dry Stout,4,3.5,Gritty McDuff's Black Fly Stout,4.1,1149
48,Brouwerij Van Steenberge N.V.,1171678592,4.5,3.5,4,86sportster883,Irish Pale Ale,4,4,Bruegel Amber Ale,5.2,1645
240,Murphy Brewery Ireland Limited,1201241220,4,3,4.5,86sportster883,Irish Dry Stout,3.5,4,Murphy's Irish Stout,4,703
470,Abbaye de Leffe S.A.,1166587914,4,3.5,4,86sportster883,Irish Pale Ale,4,3.5,Leffe Blonde,6.6,2137
741,"Lakefront Brewery, Inc.",1180146965,3.5,3,3.5,86sportster883,Irish Dry Stout,3.5,4,Snake Chaser,5,15884
20672,Sun King Brewing Company,1275754246,3.5,4,4,908carson,Irish Cream Ale,2.5,2.5,Sunlight Irish Cream Ale,5.3,52194
240,Murphy Brewery Ireland Limited,1280238986,3.5,3.5,4,92jAKe47FS,Irish Dry Stout,4,3,Murphy's Irish Stout,4,703
470,Abbaye de Leffe S.A.,1193849594,4,3,4,99a3136,Irish Pale Ale,3.5,3.5,Leffe Blonde,6.6,2137
665,Smithwick's Brewery / Irish Ale Breweries Ltd,1097709650,4.5,3.5,4,99bottles,Irish Red Ale,4,4,Smithwick's Ale,4.5,1822
35,Boston Beer Company (Samuel Adams),1058530518,4,3.5,3.5,99bottles,Irish Lager,3,4,Samuel Adams Boston Lager,4.9,104
37,Brasserie d'Orval S.A.,1120641749,4,4.5,4,99bottles,Irish Pale Ale,4,4,Orval Trappist Ale,6.9,129
99,Matt Brewing Company,1104871252,3.5,3.5,3,99bottles,Irish Lager,3,3,Saranac Season's Best - Nut Brown Lager,5.3,2019
35,Boston Beer Company (Samuel Adams),1289716155,4.5,3.5,4,9InchNails,Irish Red Ale,4,4.5,Samuel Adams Irish Red,5.8,38365
10097,Harpoon Brewery,1302561819,4,4,4,9InchNails,Irish Extra Stout,3.5,4,Harpoon Island Creek Oyster Stout (100 Barrel Series #30),5.5,55547
302,Genesee Brewing Co. / Dundee Brewing Co.,1300139070,4,2,3,9InchNails,Irish Cream Ale,3,3,Genesee Irish Cream Ale,5.2,1376
12959,Captain Lawrence Brewing Co.,1322468587,4,4,4,9InchNails,Irish Pale Ale,4,4,Liquid Gold,6,28179
10607,Sixpoint Brewery,1309924860,3.5,4,4,9InchNails,Irish Cream Ale,3.5,3.5,Sweet Action,5.2,22193
447,Pabst Brewing Company,1300072853,3.5,3.5,3.5,9InchNails,Irish Red Ale,4,3.5,McSorley's Irish Pale Ale,5.5,47166
2243,The Porterhouse Brewing Company,1301966525,3,3.5,3,9InchNails,Irish Dry Stout,3,3,Oyster Stout,5.2,5686
35,Boston Beer Company (Samuel Adams),1309583748,3,3,3.5,9InchNails,Irish Lager,3,3,Samuel Adams Boston Lager,4.9,104
1933,Mishawaka Brewing Company,1239686970,4.5,5,4,a10t2,Irish Dry Stout,4,4,Founder's Stout,5.3,5377
470,Abbaye de Leffe S.A.,1287618425,4,4,4.5,A380,Irish Pale Ale,4,3.5,Leffe Blonde,6.6,2137
35,Boston Beer Company (Samuel Adams),1299556992,3.5,3.5,3,aaron12,Irish Lager,4,3.5,Samuel Adams Boston Lager,4.9,104
73,Great Lakes Brewing Company,1043172599,4.5,4,4,aaronh,Irish Red Ale,3.5,4,Great Lakes Conway's Irish Ale,6.5,5096
958,Red Star Brewery & Grill,1042476653,4.5,2,3,aaronh,Irish Red Ale,4,4,Quinner's Lighter Shade Of Irish Red,5,8032
240,Murphy Brewery Ireland Limited,1041869863,4.5,3.5,4.5,aaronh,Irish Dry Stout,4,4,Murphy's Irish Stout,4,703
42,Brewery Ommegang,1058494366,4,4,4.5,aaronh,Irish Pale Ale,3.5,3.5,Rare Vos (Amber Ale),6.5,593
22,Unibroue,1050772719,4,4.5,3.5,aaronh,Irish Pale Ale,4.5,4,Raftman,5.5,793
470,Abbaye de Leffe S.A.,1046701169,4,4.5,3.5,aaronh,Irish Pale Ale,5,4.5,Leffe Blonde,6.6,2137
1549,Goose Island Beer Co.,1056557277,4,4.5,3.5,aaronh,Irish Red Ale,4,4,Kilgubbin Red Ale,4.5,2778
144,Sprecher Brewing Company,1199407681,4,3.5,4,aaronh,Irish Dry Stout,4,4,Irish Style Stout,5.73,3052
73,Great Lakes Brewing Company,1034188802,4,4,4,aaronh,Irish Lager,4.5,4.5,Great Lakes Eliot Ness,6.2,229
35,Boston Beer Company (Samuel Adams),1057964539,3.5,4,4,aaronh,Irish Lager,3,3.5,Samuel Adams Boston Lager,4.9,104
410,Pittsburgh Brewing Co.,1057964222,3,2.5,3.5,aaronh,Irish Lager,2.5,3,Augustiner Lager,4.8,3416
144,Sprecher Brewing Company,1199407402,3,3.5,3.5,aaronh,Irish Lager,3,3.5,Special Amber,5,97
414,Diamond Bear Brewing Company,1162350458,2.5,3,4.5,aaronh,Irish Red Ale,3.5,2.5,Irish Red,5.86,14482
1177,Minneapolis Town Hall Brewery,1175573524,2.5,3,3,aaronh,Irish Dry Stout,2.5,2,Pot Of Gold Potato Stout,4.9,9984
35,Boston Beer Company (Samuel Adams),1152279484,4,3.5,4,AaronHomoya,Irish Lager,3.5,3.5,Samuel Adams Boston Lager,4.9,104
35,Boston Beer Company (Samuel Adams),1206503474,4.5,4.5,4,Aaronius,Irish Lager,4,4,Samuel Adams Boston Lager,4.9,104
764,Blue Point Brewing Company,1008709943,5,3,4,AaronRed,Irish Lager,4,4,Blue Point Toasted Lager,5.3,2318
37,Brasserie d'Orval S.A.,1000832810,5,4,5,AaronRed,Irish Pale Ale,5,5,Orval Trappist Ale,6.9,129
35,Boston Beer Company (Samuel Adams),1006721109,5,4,4,AaronRed,Irish Lager,4,4,Samuel Adams Boston Lager,4.9,104
470,Abbaye de Leffe S.A.,1024663379,4,4,4.5,AaronRed,Irish Pale Ale,4,4.5,Leffe Blonde,6.6,2137
57,"Cervecería Cuauhtémoc Moctezuma, S.A. de C.V.",1006970070,4,3,3,AaronRed,Irish Lager,3,3.5,Dos Equis Amber Lager,4.5,171
115,"Old Nutfield Brewing Company, Ltd.",1030971908,3.5,4,3.5,AaronRed,Irish Dry Stout,3.5,4,Black 47 Stout,4,1255
161,Florida Beer Company,1034347624,2.5,3,3.5,AaronRed,Irish Lager,2.5,2.5,Ybor Gold Amber Lager,4.6,18290
240,Murphy Brewery Ireland Limited,1248034575,4,3.5,3,aaronxsubaru,Irish Dry Stout,4,3.5,Murphy's Irish Stout,4,703
35,Boston Beer Company (Samuel Adams),1246824188,4,3.5,4,aaronxsubaru,Irish Lager,4,4,Samuel Adams Boston Lager,4.9,104
1549,Goose Island Beer Co.,1277445873,4.5,4.5,4,aasher,Irish Pale Ale,4,4.5,Fleur,7,50276
739,Brouwerij De Ranke,1312941148,4.5,4,4,aasher,Irish Pale Ale,4,4.5,Cuvée De Ranke,7,42805
20672,Sun King Brewing Company,1320453117,4.5,4.5,4,aasher,Irish Cream Ale,4,4.5,Coffee & Cream,5.3,64445
148,Belhaven Brewery Company Ltd.,1312255687,4,4,4.5,aasher,Irish Extra Stout,3.5,4,Belhaven Scottish Stout,7,48194
35,Boston Beer Company (Samuel Adams),1285689263,4,3.5,4,aasher,Irish Lager,4,4,Samuel Adams Boston Lager,4.9,104
24411,The Bier Brewery,1314583846,4,4.5,4,aasher,Irish Red Ale,4,4,Redrum,5.8,72586
590,New Glarus Brewing Company,1315165807,4,4,4,aasher,Irish Pale Ale,4,4,R&D Golden Ale,7,51187
1141,Brasserie Dieu Du Ciel,1296191863,4,4.5,4.5,aasher,Irish Pale Ale,4.5,3.5,Dernière Volonté,6.5,18272
20672,Sun King Brewing Company,1274921659,3.5,3.5,3.5,aasher,Irish Cream Ale,3.5,3.5,Sunlight Irish Cream Ale,5.3,52194
24411,The Bier Brewery,1316471342,3.5,3,4,aasher,Irish Pale Ale,4,3.5,Brussels Blonde,5.3,73262
1549,Goose Island Beer Co.,1274467156,2.5,3,2,aasher,Irish Pale Ale,3,2,Demolition,7.2,49003
447,Pabst Brewing Company,1274564876,2,2,2,aasher,Irish Red Ale,3,2.5,McSorley's Irish Pale Ale,5.5,47166
192,New Belgium Brewing,1210635253,4,4,3.5,abankovich,Irish Pale Ale,4.5,4,Springboard,6.2,34717
1416,Uinta Brewing Company,1208399083,3.5,4,4,abankovich,Irish Pale Ale,3,3,Monkshine,6.8,23313
9897,Jolly Pumpkin Artisan Ales,1213929307,3,4.5,4.5,abankovich,Irish Pale Ale,3.5,3.5,"Luciérnaga, The Firefly",6.5,20524
37,Brasserie d'Orval S.A.,1273412381,4.5,4,4.5,Abbeloos,Irish Pale Ale,4.5,4,Orval Trappist Ale,6.9,129
35,Boston Beer Company (Samuel Adams),1090972309,4,3.5,4,abcsofbeer,Irish Lager,3.5,4,Samuel Adams Boston Lager,4.9,104
42,Brewery Ommegang,1222030519,4,4.5,4.5,abcsofbeer,Irish Pale Ale,4.5,4,Rare Vos (Amber Ale),6.5,593
13667,Starr Hill Brewery,1081787574,3.5,3,3.5,abcsofbeer,Irish Red Ale,3.5,3.5,Starr Hill Amber Ale,4.8,29993
590,New Glarus Brewing Company,1149899602,3.5,3,3,abcsofbeer,Irish Cream Ale,3,3.5,Spotted Cow,4.8,1963
646,Carlow Brewing Company,1207528270,3.5,3,4,abcsofbeer,Irish Dry Stout,3,3,O'Hara's Irish Stout,4.3,1751
646,Carlow Brewing Company,1207527758,3.5,3,3.5,abcsofbeer,Irish Red Ale,3,3,O'Hara's Irish Red,4.3,22181
470,Abbaye de Leffe S.A.,1197159236,3.5,3.5,3.5,abcsofbeer,Irish Pale Ale,3,3.5,Leffe Blonde,6.6,2137
3,Abita Brewing Co.,1169423503,2.5,2,2,abcsofbeer,Irish Lager,3,2.5,Amber,4.5,5
470,Abbaye de Leffe S.A.,1287554519,4,4,3.5,abduke678,Irish Pale Ale,3.5,4.5,Leffe Blonde,6.6,2137
35,Boston Beer Company (Samuel Adams),1257997280,5,3.5,3.5,abecall98,Irish Lager,4,4,Samuel Adams Boston Lager,4.9,104
35,Boston Beer Company (Samuel Adams),1226378902,4,3,4,abedenbaugh,Irish Lager,4,4,Samuel Adams Boston Lager,4.9,104
10097,Harpoon Brewery,1203385504,2.5,3,3.5,abedenbaugh,Irish Red Ale,3,2.5,Harpoon Celtic Ale,5.4,47298
17310,Otway Estate Winery & Brewery,1324168120,4,4.5,4,aBeeraWeek,Irish Dry Stout,3.5,4,Prickly Moses Otway Stout,5,43496
3,Abita Brewing Co.,1312999132,3.5,3,3,abeerlovr,Irish Lager,4,3.5,Amber,4.5,5
192,New Belgium Brewing,1085715955,4.5,4,4,abents,Irish Pale Ale,4,4.5,Loft,4,5170
22,Unibroue,1080022871,4,4,4,abents,Irish Pale Ale,3.5,4.5,Raftman,5.5,793
2372,Terrapin Beer Company,1234497775,3.5,3,3.5,abents,Irish Cream Ale,3,4,Terrapin Golden Ale,5,9777
73,Great Lakes Brewing Company,1077809048,3.5,3,4,abents,Irish Red Ale,4,4,Great Lakes Conway's Irish Ale,6.5,5096
1141,Brasserie Dieu Du Ciel,1233698134,3.5,3.5,4,abents,Irish Pale Ale,4.5,4.5,Dernière Volonté,6.5,18272
148,Belhaven Brewery Company Ltd.,1235279437,2.5,2,3.5,abents,Irish Extra Stout,2.5,2.5,Belhaven Scottish Stout,7,48194
470,Abbaye de Leffe S.A.,1089856154,4.5,3,4,AbePhroman,Irish Pale Ale,3.5,3.5,Leffe Blonde,6.6,2137
764,Blue Point Brewing Company,1186507369,4,2,3.5,Abita45,Irish Lager,4,3,Blue Point Toasted Lager,5.3,2318
73,Great Lakes Brewing Company,1186509314,3.5,4,4,Abita45,Irish Lager,3.5,4,Great Lakes Eliot Ness,6.2,229
646,Carlow Brewing Company,1167880186,3.5,3.5,4,Abita45,Irish Red Ale,4,3.5,O'Hara's Irish Red,4.3,22181
