review_overall,review_aroma,review_appearance,beer_style,review_palate,review_taste,beer_name,beer_abv,beer_beerid,,review_average_weighted
4.5,3,3,Irish Red Ale,4.5,4.5,Smithwick's Ale,5.12,1822,,3.9
3,3,3.5,Irish Cream Ale,3,3.5,Thomas Hooker Blonde Ale,4.95,9801,,3.2
4,3,5,Irish Red Ale,4.5,3.5,Renewale - 2011,5.35,65234,,3.9
4,5,3,Irish Red Ale,3,4,Danny's Irish Style Red Ale,5.51,40898,,3.8
3,4,3,Irish Pale Ale,4,3,Leffe Blonde,6.14,2137,,3.5
3,3.5,4,Irish Cream Ale,2,4,Summer Solstice Cerveza Crema,6.26,23506,,3.3
2.5,2,4,Irish Pale Ale,4,3,Raftman,5.05,793,,3.2
2,5,3,Irish Cream Ale,4,4,Kitsilano Maple Irish Cream Ale,5.79,9215,,4
3,3,3,Irish Lager,3.5,2,Amber,5.07,5,,2.8
4,4,4,Irish Lager,4,4,Amber,5.37,5,,4
4,3,4,Irish Red Ale,4,4,Irish Ale,5.88,3279,,3.8
4,4.5,4,Irish Dry Stout,3.5,3.5,Dry Stout,7.35,3277,,3.8
4,3.5,4,Irish Pale Ale,3.5,4,Bruegel Amber Ale,8.31,1645,,3.7
3.5,3.5,4,Irish Dry Stout,4.5,3.5,Murphy's Irish Stout,5.39,703,,3.9
3,2.5,4,Irish Pale Ale,4,3.5,Orval Trappist Ale,6.13,129,,3.5
3,4.5,4,Irish Pale Ale,3.5,3,Rare Vos (Amber Ale),6.76,593,,3.7
3,4,4.5,Irish Pale Ale,3.5,3,Leffe Blonde,6.09,2137,,3.6
3,3.5,4,Irish Red Ale,3.5,3,Kilgubbin Red Ale,6.1,2778,,3.4
4.5,4,4.5,Irish Pale Ale,4,4.5,Rare Vos (Amber Ale),5.66,593,,4.2
3.5,2.5,3,Irish Lager,3.5,3,Dos Equis Amber Lager,4.48,171,,3
3,3,3.5,Irish Lager,3.5,3,Samuel Adams Boston Lager,3.95,104,,3.2
3,2.5,2,Irish Cream Ale,2.5,2.5,Genesee Irish Cream Ale,6.2,1376,,2.4
3.5,4.5,4,Irish Pale Ale,3.5,3.5,Ambacht Golden Ale,6.31,55683,,3.8
3.5,3.5,4,Irish Pale Ale,4,4,Springboard,6.62,34717,,3.9
4,4,3.5,Irish Pale Ale,4.5,4,Orval Trappist Ale,6.92,129,,4
4.5,4,4,Irish Extra Stout,4,4.5,Belhaven Scottish Stout,5.84,48194,,4.2
4,4,4,Irish Pale Ale,4.5,4,Demolition,5.58,49003,,4.1
3,3,3,Irish Pale Ale,3.5,3,Blue Moon Pale Moon,5.97,42887,,3.1
3.5,4,4,Irish Pale Ale,2.5,3.5,Ommegang BPA (Belgian-style Pale Ale),6.4,56875,,3.4
3.5,4,3.5,Irish Lager,4,3.5,Saranac Season's Best - Nut Brown Lager,5.48,2019,,3.8
3,4,3.5,Irish Pale Ale,2,3.5,Orval Trappist Ale,4.65,129,,3.2
2.5,3.5,4,Irish Pale Ale,4,2.5,Rare Vos (Amber Ale),5.72,593,,3.4
3,3,4,Irish Pale Ale,3.5,3,Karma,5.76,23042,,3.3
3,3,5,Irish Pale Ale,3.5,2.5,Taras Boulba,6.96,32846,,3.3
3.5,4,4,Irish Dry Stout,3.5,3,Oyster Stout,5.35,5686,,3.5
3.5,3.5,4,Irish Extra Stout,3.5,3.5,Harpoon Island Creek Oyster Stout (100 Barrel Series #36),4.93,69135,,3.6
4.5,4,4.5,Irish Pale Ale,4,4.5,Rigor Mortis Blonde,8.2,9642,,4.2
4.5,4,3.5,Irish Pale Ale,4,4.5,La Gaillarde,6.49,2057,,4.1
4,3,3,Irish Cream Ale,4.5,4,Mt Begbie Irish Cream Ale,5.25,9255,,3.7
4,4,4,Irish Cream Ale,4,4,Gaélique,4.09,9658,,4
4,4,4,Irish Pale Ale,4,4,Raftman,5.02,793,,4
3.5,3,4,Irish Pale Ale,3.5,3,La Trappe Blond (Koningshoeven / Dominus),4.73,590,,3.3
2,2.5,2,Irish Pale Ale,2,1.5,Jan Van Gent,7.68,1687,,2
1,1.5,3,Irish Red Ale,1,1,Paddy's Irish Red,5.89,8590,,1.5
5,4.5,4,Irish Pale Ale,3.5,4.5,Orval Trappist Ale,6.54,129,,4.1
4.5,4,4,Irish Pale Ale,3,4.5,Raftman,5.62,793,,3.9
3.5,4,4,Irish Dry Stout,3,3,Oyster Stout,5.9,5686,,3.4
2,4,3.5,Irish Pale Ale,2,2.5,Leffe Blonde,6.28,2137,,2.9
1.5,3,3,Irish Red Ale,2.5,2,Sonoma Irish Style Ale,5.59,60553,,2.5
2,3,3,Irish Lager,3,2.5,Dos Equis Amber Lager,4.63,171,,2.8
4.5,4,4,Irish Red Ale,4,4,Smithwick's Ale,5,1822,,4
4.5,4,4,Irish Lager,4,4.5,Great Lakes Eliot Ness,5.49,229,,4.2
4,4,4,Irish Pale Ale,4.5,4.5,Raftman,5.09,793,,4.3
3,2.5,3,Irish Cream Ale,2.5,3,Irish Cream Ale,7.55,7982,,2.7
3.5,3,3,Irish Dry Stout,4,3,Wrasslers XXXX Stout,6.08,3042,,3.3
3.5,3.5,4.5,Irish Pale Ale,4,3.5,Orval Trappist Ale,6.48,129,,3.8
3,3,3,Irish Dry Stout,4,3,Oyster Stout,6.19,5686,,3.3
5,5,4.5,Irish Pale Ale,4,4,Orval Trappist Ale,5.91,129,,4.3
4.5,4,4.5,Irish Pale Ale,3.5,4.5,La Trappe Isid'or,4.9,51030,,4.1
4.5,4,4.5,Irish Lager,4.5,4.5,Great Lakes Eliot Ness,7.56,229,,4.4
3.5,4.5,4.5,Irish Pale Ale,3.5,4,Saint Druon De Sebourg (French Abbey Ale),5.18,7470,,4.1
3.5,3.5,4.5,Irish Pale Ale,3.5,4.5,Rare Vos (Amber Ale),5.48,593,,4
5,5,5,Irish Dry Stout,5,5,Out Of Bounds Stout,6.47,1830,,5
4,4,3,Irish Red Ale,3.5,4,Smithwick's Ale,5.27,1822,,3.7
3.5,3,3,Irish Red Ale,3,4,Murphy's Irish Red Beer,4.21,913,,3.3
4,4,4,Irish Pale Ale,3.5,4.5,Spring Rite,4.81,69179,,4
3.5,4,4,Irish Dry Stout,3.5,4,Moylans Dragoons Dry Irish Stout,7.55,21789,,3.9
4.5,4,4,Irish Pale Ale,4,4.5,Rare Vos (Amber Ale),7.74,593,,4.2
2.5,2.5,3,Irish Red Ale,2.5,3,McGuire's Irish Red Ale,4,26453,,2.7
3.5,3.5,4.5,Irish Pale Ale,4,3.5,Orval Trappist Ale,6.81,129,,3.8
3.5,4,3,Irish Cream Ale,5,4,Sweet Action,5.78,22193,,4.1
5,4,4,Irish Cream Ale,4.5,4.5,Genesee Irish Cream Ale,5.51,1376,,4.3
1.5,4,4,Irish Lager,2,1.5,Samuel Adams Boston Lager,7.77,104,,2.7
4.5,3.5,4,Irish Pale Ale,4,4,Ommegang BPA (Belgian-style Pale Ale),5.8,56875,,3.9
4,3.5,4,Irish Red Ale,3.5,3.5,Irish Amber,5.53,16796,,3.6
3.5,4,4,Irish Pale Ale,4,3.5,Orval Trappist Ale,5.43,129,,3.8
3.5,4,4,Irish Dry Stout,4,3.5,Gritty McDuff's Black Fly Stout,4.44,1149,,3.8
4.5,3.5,4,Irish Pale Ale,4,4,Bruegel Amber Ale,4.66,1645,,3.9
4,3,4.5,Irish Dry Stout,3.5,4,Murphy's Irish Stout,5.65,703,,3.7
4,3.5,4,Irish Pale Ale,4,3.5,Leffe Blonde,7.13,2137,,3.7
3.5,3,3.5,Irish Dry Stout,3.5,4,Snake Chaser,7.91,15884,,3.5
3.5,4,4,Irish Cream Ale,2.5,2.5,Sunlight Irish Cream Ale,5.23,52194,,3.1
3.5,3.5,4,Irish Dry Stout,4,3,Murphy's Irish Stout,6.85,703,,3.6
4,3,4,Irish Pale Ale,3.5,3.5,Leffe Blonde,6.32,2137,,3.5
4.5,3.5,4,Irish Red Ale,4,4,Smithwick's Ale,6.56,1822,,3.9
4,3.5,3.5,Irish Lager,3,4,Samuel Adams Boston Lager,6.36,104,,3.5
4,4.5,4,Irish Pale Ale,4,4,Orval Trappist Ale,5.92,129,,4.1
3.5,3.5,3,Irish Lager,3,3,Saranac Season's Best - Nut Brown Lager,7.23,2019,,3.1
4.5,3.5,4,Irish Red Ale,4,4.5,Samuel Adams Irish Red,4.79,38365,,4
4,4,4,Irish Extra Stout,3.5,4,Harpoon Island Creek Oyster Stout (100 Barrel Series #30),6.37,55547,,3.9
4,2,3,Irish Cream Ale,3,3,Genesee Irish Cream Ale,6.54,1376,,2.8
4,4,4,Irish Pale Ale,4,4,Liquid Gold,6.34,28179,,4
3.5,4,4,Irish Cream Ale,3.5,3.5,Sweet Action,7.07,22193,,3.7
3.5,3.5,3.5,Irish Red Ale,4,3.5,McSorley's Irish Pale Ale,3.8,47166,,3.6
3,3.5,3,Irish Dry Stout,3,3,Oyster Stout,5.77,5686,,3.1
3,3,3.5,Irish Lager,3,3,Samuel Adams Boston Lager,6.39,104,,3.1
4.5,5,4,Irish Dry Stout,4,4,Founder's Stout,4.79,5377,,4.2
4,4,4.5,Irish Pale Ale,4,3.5,Leffe Blonde,4.13,2137,,3.9
3.5,3.5,3,Irish Lager,4,3.5,Samuel Adams Boston Lager,4.62,104,,3.5
4.5,4,4,Irish Red Ale,3.5,4,Great Lakes Conway's Irish Ale,7.02,5096,,3.9
4.5,2,3,Irish Red Ale,4,4,Quinner's Lighter Shade Of Irish Red,4.68,8032,,3.4
4.5,3.5,4.5,Irish Dry Stout,4,4,Murphy's Irish Stout,5.78,703,,4
4,4,4.5,Irish Pale Ale,3.5,3.5,Rare Vos (Amber Ale),6.54,593,,3.8
4,4.5,3.5,Irish Pale Ale,4.5,4,Raftman,4.51,793,,4.2
4,4.5,3.5,Irish Pale Ale,5,4.5,Leffe Blonde,5.43,2137,,4.5
4,4.5,3.5,Irish Red Ale,4,4,Kilgubbin Red Ale,5.13,2778,,4
4,3.5,4,Irish Dry Stout,4,4,Irish Style Stout,6.09,3052,,3.9
4,4,4,Irish Lager,4.5,4.5,Great Lakes Eliot Ness,6.71,229,,4.3
3.5,4,4,Irish Lager,3,3.5,Samuel Adams Boston Lager,5.5,104,,3.6
3,2.5,3.5,Irish Lager,2.5,3,Augustiner Lager,5.46,3416,,2.8
3,3.5,3.5,Irish Lager,3,3.5,Special Amber,4.22,97,,3.4
2.5,3,4.5,Irish Red Ale,3.5,2.5,Irish Red,5.24,14482,,3.3
2.5,3,3,Irish Dry Stout,2.5,2,Pot Of Gold Potato Stout,3.77,9984,,2.5
4,3.5,4,Irish Lager,3.5,3.5,Samuel Adams Boston Lager,6.48,104,,3.6
4.5,4.5,4,Irish Lager,4,4,Samuel Adams Boston Lager,7.58,104,,4.1
5,3,4,Irish Lager,4,4,Blue Point Toasted Lager,3.7,2318,,3.8
5,4,5,Irish Pale Ale,5,5,Orval Trappist Ale,6.7,129,,4.8
5,4,4,Irish Lager,4,4,Samuel Adams Boston Lager,7.31,104,,4
4,4,4.5,Irish Pale Ale,4,4.5,Leffe Blonde,6.17,2137,,4.2
4,3,3,Irish Lager,3,3.5,Dos Equis Amber Lager,5.77,171,,3.2
3.5,4,3.5,Irish Dry Stout,3.5,4,Black 47 Stout,6.08,1255,,3.8
2.5,3,3.5,Irish Lager,2.5,2.5,Ybor Gold Amber Lager,5.98,18290,,2.8
4,3.5,3,Irish Dry Stout,4,3.5,Murphy's Irish Stout,6.29,703,,3.5
4,3.5,4,Irish Lager,4,4,Samuel Adams Boston Lager,5.11,104,,3.9
4.5,4.5,4,Irish Pale Ale,4,4.5,Fleur,5.73,50276,,4.3
4.5,4,4,Irish Pale Ale,4,4.5,Cuvée De Ranke,6.07,42805,,4.2
4.5,4.5,4,Irish Cream Ale,4,4.5,Coffee & Cream,5.19,64445,,4.3
4,4,4.5,Irish Extra Stout,3.5,4,Belhaven Scottish Stout,5.48,48194,,4
4,3.5,4,Irish Lager,4,4,Samuel Adams Boston Lager,4.66,104,,3.9
4,4.5,4,Irish Red Ale,4,4,Redrum,5.51,72586,,4.1
4,4,4,Irish Pale Ale,4,4,R&D Golden Ale,5.26,51187,,4
4,4.5,4.5,Irish Pale Ale,4.5,3.5,Dernière Volonté,4.24,18272,,4.2
3.5,3.5,3.5,Irish Cream Ale,3.5,3.5,Sunlight Irish Cream Ale,7.02,52194,,3.5
3.5,3,4,Irish Pale Ale,4,3.5,Brussels Blonde,6.64,73262,,3.6
2.5,3,2,Irish Pale Ale,3,2,Demolition,5.09,49003,,2.5
2,2,2,Irish Red Ale,3,2.5,McSorley's Irish Pale Ale,4.66,47166,,2.4
4,4,3.5,Irish Pale Ale,4.5,4,Springboard,6.83,34717,,4
3.5,4,4,Irish Pale Ale,3,3,Monkshine,5.61,23313,,3.4
3,4.5,4.5,Irish Pale Ale,3.5,3.5,"Luciérnaga, The Firefly",6.17,20524,,3.9
4.5,4,4.5,Irish Pale Ale,4.5,4,Orval Trappist Ale,6.83,129,,4.2
4,3.5,4,Irish Lager,3.5,4,Samuel Adams Boston Lager,4.17,104,,3.7
4,4.5,4.5,Irish Pale Ale,4.5,4,Rare Vos (Amber Ale),6.18,593,,4.3
3.5,3,3.5,Irish Red Ale,3.5,3.5,Starr Hill Amber Ale,5.87,29993,,3.4
3.5,3,3,Irish Cream Ale,3,3.5,Spotted Cow,4.23,1963,,3.2
3.5,3,4,Irish Dry Stout,3,3,O'Hara's Irish Stout,6.62,1751,,3.2
3.5,3,3.5,Irish Red Ale,3,3,O'Hara's Irish Red,6.57,22181,,3.1
3.5,3.5,3.5,Irish Pale Ale,3,3.5,Leffe Blonde,4.51,2137,,3.4
2.5,2,2,Irish Lager,3,2.5,Amber,7.44,5,,2.4
4,4,3.5,Irish Pale Ale,3.5,4.5,Leffe Blonde,5.89,2137,,3.9
5,3.5,3.5,Irish Lager,4,4,Samuel Adams Boston Lager,5.17,104,,3.8
4,3,4,Irish Lager,4,4,Samuel Adams Boston Lager,6.23,104,,3.8
2.5,3,3.5,Irish Red Ale,3,2.5,Harpoon Celtic Ale,6.61,47298,,2.9
4,4.5,4,Irish Dry Stout,3.5,4,Prickly Moses Otway Stout,5.56,43496,,4
3.5,3,3,Irish Lager,4,3.5,Amber,6.44,5,,3.4
4.5,4,4,Irish Pale Ale,4,4.5,Loft,6.58,5170,,4.2
4,4,4,Irish Pale Ale,3.5,4.5,Raftman,5.84,793,,4
3.5,3,3.5,Irish Cream Ale,3,4,Terrapin Golden Ale,5.45,9777,,3.4
3.5,3,4,Irish Red Ale,4,4,Great Lakes Conway's Irish Ale,6.53,5096,,3.8
3.5,3.5,4,Irish Pale Ale,4.5,4.5,Dernière Volonté,4.97,18272,,4.2
2.5,2,3.5,Irish Extra Stout,2.5,2.5,Belhaven Scottish Stout,5.78,48194,,2.6
4.5,3,4,Irish Pale Ale,3.5,3.5,Leffe Blonde,6.06,2137,,3.5
4,2,3.5,Irish Lager,4,3,Blue Point Toasted Lager,7.41,2318,,3.1
3.5,4,4,Irish Lager,3.5,4,Great Lakes Eliot Ness,6.04,229,,3.9
3.5,3.5,4,Irish Red Ale,4,3.5,O'Hara's Irish Red,5.65,22181,,3.7
4,3,4,Irish Dry Stout,4.5,3.5,Murphy's Irish Stout,6.69,703,,3.8
5,4,4.5,Irish Pale Ale,5,5,Orval Trappist Ale,6.19,129,,4.7
4.5,3.5,3.5,Irish Red Ale,4.5,3.5,Great Lakes Conway's Irish Ale,6.61,5096,,3.8
4.5,4.5,4,Irish Pale Ale,4,4,Verboten,5.61,58482,,4.1
4,4.5,4.5,Irish Pale Ale,4,4.5,Demolition,6.2,49003,,4.4
3.5,3.5,4,Irish Pale Ale,3.5,4,Fleur,6.64,50276,,3.7
2,2,3,Irish Red Ale,2,3,Murphy's Irish Red Beer,6.44,913,,2.5
4.5,3.5,4.5,Irish Pale Ale,4,4,Demolition,6.09,49003,,4
4,4,4,Irish Pale Ale,4.5,3.5,Verboten,7.67,58482,,4
3.5,3.5,3.5,Irish Cream Ale,3.5,3.5,Sunlight Irish Cream Ale,5.68,52194,,3.5
3,3.5,4,Irish Pale Ale,3.5,3.5,X-Mas Zinnebir,6.48,40001,,3.6
4,3,4,Irish Lager,4,4.5,Great Lakes Eliot Ness,4.26,229,,3.9
4,3.5,5,Irish Dry Stout,4,4,Murphy's Irish Stout,5.48,703,,4.1
5,4,4,Irish Pale Ale,4,4.5,Marckloff,6.57,7404,,4.2
4.5,4,3.5,Irish Pale Ale,4,4,Scone Blond,7.84,58289,,3.9
4.5,3.5,3.5,Irish Pale Ale,4,4,Dikke Mathile,4.12,17691,,3.8
4.5,4,3.5,Irish Pale Ale,3,3.5,Couckelærschen Doedel,5.98,11875,,3.5
4.5,3.5,3.5,Irish Pale Ale,3.5,4,Petite Orval,5.33,1813,,3.7
4,3.5,4,Irish Pale Ale,4,4,Eikelbier,5.41,24501,,3.9
4,3.5,4,Irish Pale Ale,4,3.5,Eem Blond (for Brouwerij De Eem),8.79,40740,,3.7
4,3.5,3.5,Irish Pale Ale,3.5,3.5,Cuvée De Ranke,5.5,42805,,3.5
4,4,3.5,Irish Pale Ale,3.5,4,Borefts Blond,5.85,24973,,3.8
4,4,3.5,Irish Pale Ale,4,3.5,Godelief,6.16,15304,,3.8
4,4,4,Irish Lager,3.5,3.5,Samuel Adams Boston Lager,6.9,104,,3.7
4,3,4,Irish Pale Ale,3.5,3.5,Royal,4.1,23531,,3.5
4,4,4,Irish Pale Ale,4,4,Ploquette,5.69,26701,,4
4,4,3.5,Irish Pale Ale,4,4,Steenbrugge Blond,6.01,43829,,3.9
4,3.5,3.5,Irish Pale Ale,4,4,Piste Noire,4.7,9504,,3.8
4,4,3.5,Irish Pale Ale,4,4.5,Transat,6.68,9632,,4.1
4,3,3,Irish Cream Ale,3.5,3.5,Terrapin Golden Ale,6.78,9777,,3.3
4,3.5,3.5,Irish Pale Ale,4,4.5,Taras Boulba,5.47,32846,,4
4,4,4,Irish Pale Ale,4,4,Super 64,5.96,2496,,4
4,4,3.5,Irish Pale Ale,4,4,Struise Kloeke Blonde,4.24,34309,,3.9
4,4.5,3.5,Irish Pale Ale,3.5,4,La Cré Tonnerre,5.98,33328,,3.9
4,4,3.5,Irish Pale Ale,3.5,4,La Britt Blonde,6.01,32621,,3.8
4,3.5,4,Irish Pale Ale,3,3,La Binchoise Blonde Tradition,5.54,7693,,3.3
4,4,3,Irish Pale Ale,3.5,4.5,Kermesse,5.92,14836,,3.8
4,3.5,4,Irish Pale Ale,4,4,Kapittel Blond,6.03,13566,,3.9
4,3.5,3.5,Irish Pale Ale,3.5,3.5,Jubileumbier,6.07,36774,,3.5
4,3.5,3,Irish Pale Ale,3.5,4,Gulden Craen,4.9,49758,,3.6
4,4,3.5,Irish Pale Ale,3.5,4,La Féodale De La Roche,6.05,27175,,3.8
4,3.5,3.5,Irish Pale Ale,3,3.5,La Rullés Estivale (Bière De Gaume),5.48,29125,,3.4
4,4,3.5,Irish Pale Ale,3.5,4,"Pee Klak Moorsels Bier (for Pee Klak, Gijzejem)",6.29,17692,,3.8
4,4,4.5,Irish Pale Ale,4,3.5,Orval Trappist Ale,6.48,129,,3.9
4,4.5,4,Irish Pale Ale,4,4.5,Mariken,5.41,15307,,4.3
4,3.5,3.5,Irish Pale Ale,3,3.5,La Trappe Blond (Koningshoeven / Dominus),6.02,590,,3.4
4,3.5,4,Irish Extra Stout,4,4,Van Vollenhoven's Stout,5.29,45538,,3.9
3.5,4,3.5,Irish Pale Ale,3,3,Baton De Feu,6.7,23691,,3.3
3.5,3,3.5,Irish Pale Ale,3.5,3.5,Bruegel Amber Ale,6.1,1645,,3.4
3.5,4,3.5,Irish Pale Ale,3,3.5,Cervoise De L'Avouerie D'Anthisnes,5.09,26698,,3.5
3.5,4,4,Irish Pale Ale,3.5,4,Noblesse,5.82,42461,,3.9
3.5,3.5,5,Irish Dry Stout,4,3.5,Murphy's Irish Stout,4.81,703,,3.9
3.5,4,4,Irish Red Ale,3.5,3.5,Murphy's Irish Red Beer,6.2,913,,3.7
3.5,3.5,3.5,Irish Pale Ale,3.5,3.5,Parel,7.59,5895,,3.5
3.5,4,3.5,Irish Pale Ale,4,3.5,Plzen,5.4,1404,,3.8
3.5,3.5,3.5,Irish Pale Ale,3,3,Mug Bitter,5.62,29681,,3.2
3.5,3.5,3.5,Irish Pale Ale,3.5,3,Yersekes Mosselbier,7.73,13332,,3.3
3.5,3,3.5,Irish Pale Ale,3.5,3.5,Wendelinus,6.83,19112,,3.4
3.5,3,3.5,Irish Pale Ale,3,3.5,Tongerlo Christmas,5.43,7312,,3.2
3.5,3.5,3.5,Irish Pale Ale,3,3.5,St. Benôit Blonde,3.83,6058,,3.4
3.5,3,3.5,Irish Pale Ale,3.5,3.5,Scheldebrouwerij Strandgaper,5.68,12964,,3.4
3.5,3,3,Irish Pale Ale,3.5,4,Emelisse Blond,6.86,50168,,3.5
3.5,4,4.5,Irish Pale Ale,4,3.5,Eem Bitter (for Brouwerij De Eem),5.21,39878,,3.9
3.5,3,3.5,Irish Pale Ale,3.5,3.5,De Leckere Speciale,4.09,20347,,3.4
3.5,4,4,Irish Pale Ale,3.5,4,Gouyasse Tradition,5.95,9078,,3.9
3.5,4,3.5,Irish Pale Ale,3,3.5,Malheur 6°,5.94,7844,,3.5
3.5,3.5,3.5,Irish Pale Ale,3.5,3.5,La Trappe Isid'or,4.31,51030,,3.5
3.5,3.5,3.5,Irish Pale Ale,3.5,3.5,La Gauloise Blonde,7.14,12767,,3.5
3.5,3,4,Irish Pale Ale,3.5,3,Zinnebir,6.62,38705,,3.3
3,3.5,3.5,Irish Pale Ale,3,3,Ultramour,5.11,9067,,3.2
3,3,3,Irish Pale Ale,3,3,Raftman,5.76,793,,3
3,3.5,3.5,Irish Pale Ale,3,3.5,Rijngoud (Voor Brouwers Aan De Rijn),6.04,28041,,3.4
3,4,3.5,Irish Pale Ale,3.5,3.5,Vlasbier,5.52,22048,,3.6
3,3.5,3,Irish Pale Ale,3,3.5,Mestreechs Blónt,5.98,42073,,3.3
3,3.5,3.5,Irish Pale Ale,3.5,3.5,Moreeke,5.12,25020,,3.5
3,3,4,Irish Pale Ale,3,3,Palm / Palm Speciale,4.92,2823,,3.2
3,4,3,Irish Pale Ale,3.5,3,Palm Dobbel,6.25,9082,,3.4
3,2.5,3.5,Irish Pale Ale,3.5,3,Paulus Utrechts Abdijbier,7.31,48792,,3.1
3,3.5,4,Irish Pale Ale,3.5,3,Dikke Deur,5.91,36302,,3.4
3,3,3,Irish Pale Ale,3,3.5,Jopen Hoppenbier,6.3,34047,,3.2
3,3,3.5,Irish Pale Ale,3.5,3,Abbaye De Forest,5.86,42338,,3.2
3,3.5,3,Irish Pale Ale,3,3.5,Bon Secours Bien-Etre,5.05,43182,,3.3
2.5,2.5,3,Irish Pale Ale,3,2.5,Coreff Ambrée,4.91,6244,,2.7
2.5,3,3,Irish Pale Ale,3,3.5,Columbus,5.33,1407,,3.2
2,3,2.5,Irish Pale Ale,3,2.5,Fischer Réserve Ambrée,5.44,39223,,2.8
4,3,4,Irish Pale Ale,4,3,Stone Soup,4.75,35281,,3.5
3,4,3.5,Irish Pale Ale,3,4.5,La Trappe Isid'or,4.99,51030,,3.8
3,4,5,Irish Pale Ale,3.5,3.5,Orval Trappist Ale,5.59,129,,3.9
3.5,3,4,Irish Red Ale,4.5,4,Harpoon Celtic Ale,4.47,47298,,3.9
3,3,4,Irish Red Ale,3,3.5,Smithwick's Ale,5.02,1822,,3.3
3,3,2,Irish Lager,3.5,3,Samuel Adams Boston Lager,6.2,104,,3
2,3,3.5,Irish Dry Stout,1,2,Black 47 Stout,5.19,1255,,2.2
4.5,3.5,4,Irish Red Ale,4.5,4,Irish Ale,6.45,3279,,4
4,4,4.5,Irish Pale Ale,4,5,Orval Trappist Ale,3.71,129,,4.4
4,3.5,3.5,Irish Lager,3,3.5,Samuel Adams Boston Lager,5.7,104,,3.4
4,3,4,Irish Red Ale,3.5,3.5,Samuel Adams Irish Red,7,38365,,3.5
